,Time,House,School,Health_center,Church,Water_pump,Class_name
284,20130112:2007,0.366,0.15,0.15,0.1,0.29,1
285,20130112:2107,0.26,0.15,0.15,0.1,0.14,1
286,20130112:2207,0.162,0.15,0.15,0.1,0.14,1
287,20130112:2307,0.11,0.15,0.15,0.1,0.14,1
288,20130113:0007,0.059,0.15,0.15,0.1,0.14,1
289,20130113:0107,0.051,0.15,0.15,0.1,0.14,1
290,20130113:0207,0.051,0.15,0.15,0.1,0.14,1
291,20130113:0307,0.051,0.15,0.15,0.1,0.29,1
292,20130113:0407,0.177,0.15,0.15,0.85,0.43,1
293,20130113:0507,0.271,0.15,0.15,0.85,0.57,1
294,20130113:0607,0.298,0.46,0.46,0.5,0.71,1
295,20130113:0707,0.271,0.92,0.92,0.1,0.0,0
296,20130113:0807,0.227,0.92,0.92,0.1,1.0,1
297,20130113:0907,0.233,1.0,1.0,0.1,1.0,1
298,20130113:1007,0.268,1.0,1.0,0.1,1.0,1
299,20130113:1107,0.288,1.0,1.0,1.0,0.86,1
300,20130113:1207,0.374,1.0,1.0,1.0,0.71,1
301,20130113:1307,0.281,1.0,1.0,1.0,0.71,1
302,20130113:1407,0.226,1.0,1.0,0.5,0.86,1
303,20130113:1507,0.215,1.0,1.0,1.0,0.86,1
304,20130113:1607,0.221,0.85,0.85,1.0,1.0,1
305,20130113:1707,0.356,0.31,0.31,0.5,1.0,1
306,20130113:1807,0.667,0.15,0.15,1.0,0.71,1
307,20130113:1907,0.543,0.15,0.15,1.0,0.57,1
308,20130113:2007,0.366,0.15,0.15,0.1,0.29,1
309,20130113:2107,0.26,0.15,0.15,0.1,0.14,1
310,20130113:2207,0.162,0.15,0.15,0.1,0.14,1
311,20130113:2307,0.11,0.15,0.15,0.1,0.14,1
312,20130114:0007,0.059,0.15,0.15,0.1,0.14,1
313,20130114:0107,0.051,0.15,0.15,0.1,0.14,1
314,20130114:0207,0.051,0.15,0.15,0.1,0.14,1
315,20130114:0307,0.051,0.15,0.15,0.1,0.29,1
316,20130114:0407,0.177,0.15,0.15,0.85,0.43,1
317,20130114:0507,0.271,0.15,0.15,0.85,0.57,1
318,20130114:0607,0.298,0.0,0.46,0.5,0.71,0
319,20130114:0707,0.271,0.92,0.92,0.1,0.86,1
320,20130114:0807,0.227,0.92,0.92,0.1,1.0,1
321,20130114:0907,0.233,1.0,1.0,0.1,1.0,1
322,20130114:1007,0.268,1.0,1.0,0.0,1.0,0
323,20130114:1107,0.288,1.0,1.0,0.0,0.86,0
324,20130114:1207,0.374,1.0,1.0,1.0,0.71,1
325,20130114:1307,0.281,1.0,1.0,1.0,0.71,1
326,20130114:1407,0.226,1.0,1.0,0.5,0.86,1
327,20130114:1507,0.215,1.0,1.0,1.0,0.86,1
328,20130114:1607,0.221,0.85,0.85,1.0,1.0,1
329,20130114:1707,0.356,0.31,0.31,0.5,1.0,1
330,20130114:1807,0.667,0.15,0.15,1.0,0.71,1
331,20130114:1907,0.543,0.15,0.15,1.0,0.57,1
332,20130114:2007,0.366,0.15,0.15,0.1,0.29,1
333,20130114:2107,0.26,0.15,0.15,0.1,0.14,1
334,20130114:2207,0.162,0.15,0.15,0.1,0.14,1
335,20130114:2307,0.11,0.15,0.15,0.1,0.14,1
336,20130115:0007,0.059,0.15,0.15,0.1,0.14,1
337,20130115:0107,0.051,0.15,0.15,0.1,0.14,1
338,20130115:0207,0.051,0.15,0.15,0.1,0.14,1
339,20130115:0307,0.051,0.15,0.15,0.1,0.29,1
340,20130115:0407,0.177,0.15,0.15,0.85,0.43,1
341,20130115:0507,0.271,0.15,0.15,0.85,0.57,1
342,20130115:0607,0.298,0.46,0.46,0.5,0.71,1
343,20130115:0707,0.271,0.92,0.92,0.1,0.86,1
344,20130115:0807,0.227,0.92,0.92,0.1,1.0,1
345,20130115:0907,0.233,1.0,1.0,0.1,1.0,1
346,20130115:1007,0.268,1.0,1.0,0.1,1.0,1
347,20130115:1107,0.288,1.0,1.0,1.0,0.86,1
348,20130115:1207,0.374,1.0,1.0,1.0,0.0,0
349,20130115:1307,0.281,1.0,1.0,1.0,0.71,1
350,20130115:1407,0.226,1.0,1.0,0.5,0.86,1
351,20130115:1507,0.215,1.0,1.0,1.0,0.86,1
352,20130115:1607,0.221,0.85,0.85,1.0,1.0,1
353,20130115:1707,0.356,0.31,0.31,0.5,1.0,1
354,20130115:1807,0.667,0.15,0.15,1.0,0.71,1
355,20130115:1907,0.543,0.15,0.15,1.0,0.57,1
356,20130115:2007,0.366,0.15,0.15,0.1,0.29,1
357,20130115:2107,0.26,0.15,0.15,0.1,0.14,1
358,20130115:2207,0.162,0.15,0.15,0.1,0.14,1
359,20130115:2307,0.11,0.15,0.15,0.1,0.14,1
360,20130116:0007,0.059,0.15,0.15,0.1,0.14,1
361,20130116:0107,0.051,0.15,0.15,0.1,0.14,1
362,20130116:0207,0.051,0.15,0.15,0.1,0.14,1
363,20130116:0307,0.051,0.15,0.15,0.1,0.29,1
364,20130116:0407,0.177,0.15,0.15,0.85,0.43,1
365,20130116:0507,0.271,0.15,0.15,0.85,0.57,1
366,20130116:0607,0.298,0.46,0.46,0.5,0.71,1
367,20130116:0707,0.271,0.92,0.92,0.1,0.86,1
368,20130116:0807,0.227,0.92,0.92,0.1,1.0,1
369,20130116:0907,0.233,1.0,1.0,0.1,1.0,1
370,20130116:1007,0.268,1.0,1.0,0.1,1.0,1
371,20130116:1107,0.288,1.0,1.0,1.0,0.86,1
372,20130116:1207,0.374,1.0,1.0,1.0,0.71,1
373,20130116:1307,0.281,1.0,1.0,1.0,0.71,1
374,20130116:1407,0.226,1.0,1.0,0.5,0.86,1
375,20130116:1507,0.215,1.0,1.0,1.0,0.86,1
376,20130116:1607,0.221,0.85,0.85,1.0,1.0,1
377,20130116:1707,0.356,0.31,0.31,0.5,1.0,1
378,20130116:1807,0.667,0.15,0.15,1.0,0.71,1
379,20130116:1907,0.543,0.15,0.15,1.0,0.57,1
380,20130116:2007,0.366,0.15,0.15,0.1,0.29,1
381,20130116:2107,0.26,0.15,0.15,0.1,0.14,1
382,20130116:2207,0.162,0.15,0.15,0.1,0.14,1
383,20130116:2307,0.11,0.15,0.15,0.1,0.0,0
384,20130117:0007,0.059,0.15,0.15,0.1,0.14,1
385,20130117:0107,0.051,0.15,0.15,0.1,0.14,1
386,20130117:0207,0.051,0.15,0.15,0.1,0.14,1
387,20130117:0307,0.051,0.15,0.15,0.1,0.29,1
388,20130117:0407,0.177,0.15,0.15,0.85,0.0,0
389,20130117:0507,0.271,0.15,0.15,0.85,0.57,1
390,20130117:0607,0.298,0.46,0.46,0.5,0.71,1
391,20130117:0707,0.271,0.92,0.92,0.1,0.86,1
392,20130117:0807,0.227,0.92,0.92,0.1,1.0,1
393,20130117:0907,0.233,1.0,1.0,0.1,1.0,1
394,20130117:1007,0.268,1.0,1.0,0.1,1.0,1
395,20130117:1107,0.288,1.0,1.0,1.0,0.86,1
396,20130117:1207,0.374,1.0,1.0,1.0,0.71,1
397,20130117:1307,0.281,1.0,1.0,1.0,0.71,1
398,20130117:1407,0.226,1.0,1.0,0.5,0.86,1
399,20130117:1507,0.215,1.0,1.0,1.0,0.86,1
400,20130117:1607,0.221,0.85,0.85,1.0,1.0,1
401,20130117:1707,0.356,0.31,0.31,0.5,1.0,1
402,20130117:1807,0.667,0.15,0.15,1.0,0.71,1
403,20130117:1907,0.543,0.15,0.15,1.0,0.57,1
404,20130117:2007,0.366,0.15,0.15,0.1,0.29,1
405,20130117:2107,0.26,0.15,0.15,0.1,0.14,1
406,20130117:2207,0.162,0.15,0.15,0.1,0.14,1
407,20130117:2307,0.11,0.15,0.0,0.1,0.14,0
408,20130118:0007,0.0,0.15,0.15,0.1,0.14,0
409,20130118:0107,0.051,0.15,0.15,0.1,0.14,1
410,20130118:0207,0.051,0.15,0.15,0.1,0.14,1
411,20130118:0307,0.051,0.15,0.15,0.1,0.29,1
412,20130118:0407,0.177,0.15,0.15,0.85,0.43,1
413,20130118:0507,0.271,0.15,0.15,0.85,0.57,1
414,20130118:0607,0.298,0.46,0.46,0.5,0.71,1
415,20130118:0707,0.271,0.92,0.92,0.1,0.86,1
416,20130118:0807,0.227,0.92,0.92,0.1,1.0,1
417,20130118:0907,0.233,1.0,1.0,0.1,1.0,1
418,20130118:1007,0.268,1.0,1.0,0.1,1.0,1
419,20130118:1107,0.288,1.0,1.0,1.0,0.86,1
420,20130118:1207,0.374,1.0,1.0,1.0,0.71,1
421,20130118:1307,0.281,1.0,1.0,1.0,0.71,1
422,20130118:1407,0.226,1.0,1.0,0.5,0.86,1
423,20130118:1507,0.215,1.0,1.0,1.0,0.86,1
424,20130118:1607,0.221,0.85,0.85,1.0,1.0,1
425,20130118:1707,0.356,0.31,0.31,0.5,1.0,1
426,20130118:1807,0.667,0.15,0.15,1.0,0.71,1
427,20130118:1907,0.543,0.15,0.15,1.0,0.57,1
428,20130118:2007,0.366,0.15,0.15,0.1,0.29,1
429,20130118:2107,0.26,0.15,0.15,0.1,0.14,1
430,20130118:2207,0.162,0.15,0.15,0.1,0.14,1
431,20130118:2307,0.11,0.15,0.15,0.1,0.14,1
432,20130119:0007,0.059,0.15,0.15,0.1,0.14,1
433,20130119:0107,0.051,0.15,0.15,0.1,0.14,1
434,20130119:0207,0.051,0.15,0.15,0.1,0.14,1
435,20130119:0307,0.051,0.15,0.15,0.1,0.29,1
436,20130119:0407,0.177,0.15,0.15,0.85,0.43,1
437,20130119:0507,0.271,0.0,0.15,0.85,0.57,0
438,20130119:0607,0.298,0.46,0.46,0.5,0.71,1
439,20130119:0707,0.271,0.92,0.92,0.1,0.0,0
440,20130119:0807,0.227,0.92,0.92,0.0,1.0,0
441,20130119:0907,0.233,1.0,1.0,0.1,1.0,1
442,20130119:1007,0.268,1.0,1.0,0.1,1.0,1
443,20130119:1107,0.288,1.0,1.0,1.0,0.86,1
444,20130119:1207,0.374,1.0,1.0,1.0,0.71,1
445,20130119:1307,0.281,1.0,1.0,1.0,0.71,1
446,20130119:1407,0.226,1.0,1.0,0.5,0.86,1
